title,author,genre,ISBN,publication_year,borrow_count
Jane Eyre,Harper Lee,Romance,9787156204925,1988.0,1.0
The Hobbit,Aldous Huxley,Fantasy,9788836154032,1919.0,1.0
The Alchemist,Ernest Hemingway,Fiction,9784989319207,1907.0,6.0
The Alchemist,Paulo Coelho,Adventure,9789710864767,1807.0,1.0
The Catcher in the Rye,J.R.R. Tolkien,Dystopian,9783873070840,2019.0,9.0
The Alchemist,Fyodor Dostoevsky,Mystery,9785800600942,1989.0,98.0
Jane Eyre,Harper Lee,Fantasy,9787950204173,1949.0,7.0
The Chronicles of Narnia,Mark Twain,Fiction,9787383604001,1859.0,100.0
Gone with the Wind,Mark Twain,Mystery,9783631578420,1924.0,3.0
War and Peace,Jane Austen,Fantasy,9784645477968,1809.0,0.0
Animal Farm,Victor Hugo,Fiction,9786605565127,1825.0,100.0
Pride and Prejudice,F. Scott Fitzgerald,Drama,9788196925729,1999.0,97.0
The Chronicles of Narnia,Mark Twain,Classic,9788657079294,1877.0,99.0
The Alchemist,Gabriel García Márquez,Drama,9783352605216,2020.0,100.0
The Alchemist,J.R.R. Tolkien,Thriller,9781321245641,2021.0,7.0
1984,Ernest Hemingway,Fiction,9783949894399,1843.0,97.0
The Hobbit,Aldous Huxley,Classic,9788717089353,1906.0,7.0
The Lord of the Rings,Harper Lee,Mystery,9783188778191,1830.0,7.0
Pride and Prejudice,Charlotte Brontë,Fantasy,9787485046482,1894.0,1.0
Pride and Prejudice,Paulo Coelho,Classic,9789340969742,1861.0,3.0
Animal Farm,J.R.R. Tolkien,Historical Fiction,9784859684021,1976.0,97.0
Gone with the Wind,F. Scott Fitzgerald,Romance,9789188000092,1972.0,1.0
Les Misérables,Leo Tolstoy,Adventure,9787190314762,1967.0,1.0
To Kill a Mockingbird,Gabriel García Márquez,Fiction,9785396596744,1851.0,7.0
The Alchemist,Ernest Hemingway,Fantasy,9784542247682,1994.0,97.0
Crime and Punishment,Victor Hugo,Adventure,9788500028857,1968.0,98.0
To Kill a Mockingbird,J.D. Salinger,Dystopian,9785434330621,1992.0,3.0
The Odyssey,F. Scott Fitzgerald,Adventure,9787263895582,2008.0,9.0
Animal Farm,J.R.R. Tolkien,Fantasy,9785288598985,1913.0,9.0
Moby Dick,Herman Melville,Mystery,9787049483139,1809.0,3.0
War and Peace,Leo Tolstoy,Romance,9786174341266,1805.0,99.0
The Odyssey,J.R.R. Tolkien,Drama,9786445973915,2021.0,2.0
Jane Eyre,J.K. Rowling,Fantasy,9789680165809,1848.0,97.0
To Kill a Mockingbird,Fyodor Dostoevsky,Mystery,9783528311624,2017.0,3.0
1984,Homer,Historical Fiction,9789467317227,1848.0,100.0
The Chronicles of Narnia,Charlotte Brontë,Classic,9787570118478,1983.0,98.0
